property_id,address,city,price,agent_id
1,"016 Mendez Station Apt. 744
New Loriborough, MS 22023",Westland,227553,6
2,"39659 Lewis Islands Apt. 688
Lake Lisa, NJ 50748",New Kyle,169941,3
3,"USNV Fry
FPO AP 25525",Carrieborough,275175,8
4,"347 Stone Land
North Denisefurt, IN 95471",Comptonbury,716575,2
5,"Unit 3978 Box 1320
DPO AE 90862",Lake Anthonyville,367097,2
6,"4673 Matthew Street Suite 268
South Karaton, TN 97406",Port Julie,721909,7
7,"48723 Hamilton Pike Suite 483
Justinfort, NY 08357",Carrollport,781443,2
8,"00966 William Park
Gabrielhaven, NY 71133",West Jason,147021,8
9,"6871 Thomas Prairie
Lake Keithland, CT 75415",Port Gregoryside,134823,8
10,"452 Angelica Cove
Davischester, MI 04167",Port Ericamouth,676068,1
11,"Unit 6999 Box 7633
DPO AP 34828",North Mark,463533,1
12,"456 Thomas Freeway
Brownchester, PA 35496",Prestonport,133134,9
13,"82945 Crawford Burgs Apt. 668
Lake Charleshaven, FL 50324",Port Jeremiah,253002,9
14,"219 Weiss Haven Apt. 922
Lauraville, KY 43448",West Heatherfurt,265674,6
15,"4136 Paige Burg Apt. 519
West Territown, HI 87764",North Christineland,386223,8
16,"9094 Christopher Unions
Lake Sarahchester, OK 33313",New Garrettfort,148198,5
17,"768 Thomas Well
Gibsonland, DE 12011",Williamstown,738156,9
18,"0043 David Ports
Karimouth, ID 05282",Breannaville,521336,6
19,"39373 Kenneth Vista
Kevinmouth, MS 77666",Juanland,536616,7
20,"PSC 7976, Box 6928
APO AA 59467",Anthonytown,550129,1
21,"8565 Robert Crescent
Julieside, CA 82519",North Richardmouth,778050,10
22,"472 Dylan Flat
Lake Kelseyfurt, OR 29777",Port Tyronefurt,199594,8
23,"043 James Spur
West Judy, KS 42181",Levitown,791883,1
24,"547 Eaton Ports Suite 311
Frenchhaven, VA 12234",Kristenville,688278,8
25,"2672 Rebecca Spur
Warnerfort, NM 18697",Waltonfort,741002,8
26,"3763 Allen Run
Lake George, AL 64455",Joshualand,716862,7
27,"48653 White Wall
Tracyfurt, MA 62211",Banksside,672512,6
28,"88929 Mitchell Park Suite 639
North Heather, AL 72785",Blackbury,194122,3
29,"2932 Wright Flats
Joshuaton, ID 20705",West Sydney,173160,10
30,"12380 Lindsey Viaduct Apt. 015
Keyshire, MD 12451",North Williammouth,707247,3
31,"6477 Stanley Inlet
North Patricia, TX 76883",New Marioberg,467066,5
32,"9301 Williams Point
Nunezburgh, CA 07878",Laurabury,707746,6
33,"75417 Jones Glens Apt. 862
Kingmouth, LA 77981",Archerland,643676,3
34,"763 Jesse Wall Apt. 552
New Laurenburgh, TN 80843",Wyattfort,700355,3
35,"2687 Russell Crescent Suite 532
Port Harrymouth, IA 48419",Arielbury,424381,7
36,"638 Taylor Extension
North Vanessa, SC 76181",Bensonport,554173,8
37,"4209 Tammie Lodge
East Jesus, KY 31952",Kingchester,760029,1
38,"61655 Clark Turnpike Apt. 084
Pacemouth, RI 19654",South Shannon,226173,4
39,"878 Jesse Mews
North Jenniferstad, HI 28334",Rojaschester,587889,5
40,"13006 Christopher Pines
New Melissa, DC 41025",Chapmanton,108926,10
41,"71412 Tyler Lock
East Michaelchester, IA 51024",Lake Sharon,184292,5
42,"244 Robert Via Suite 284
New Barbara, KY 06152",Kaylamouth,442470,10
43,"719 Smith Burgs Suite 843
Lake James, SD 50087",North Dennis,449568,8
44,"294 Anderson Village Apt. 778
Bartlettchester, OK 52944",Coleberg,513760,2
45,"993 Clark Highway Suite 942
Port Jaredton, AR 91643",North Josetown,762526,9
46,"0312 Santiago Hollow Suite 598
East Deannaside, SD 57512",North Sherri,265888,5
47,"256 Sheri Gardens
Meyerborough, IN 17874",Peckside,673827,3
48,"51532 Caitlin Loop
South Christopher, PA 67500",West Brandy,715698,5
49,"57399 Jonathan Freeway Suite 743
New Douglas, CT 85742",South Alexanderbury,277619,2
50,"734 Katherine Keys Apt. 230
East Leonard, RI 71054",Sarahchester,464429,9
51,"902 Lisa Parks Suite 196
Lake Corey, LA 28408",North Tina,435802,1
52,"2852 Fitzgerald Bypass Suite 474
Gatesshire, AR 59011",West Brandonmouth,634546,5
53,"95999 Adam Mall Apt. 464
South William, MO 10730",Port Williamtown,317461,8
54,"44593 Hannah Shore Suite 762
West Henrystad, WV 53280",Katherinestad,470979,6
55,"82129 Medina Parkway
Ellishaven, CO 82196",Port Stevenchester,660965,5
56,"9658 Virginia Ridge
Hawkinschester, DC 74776",Christinebury,587286,6
57,"2155 Jillian Light Suite 300
Kyleland, IA 24114",South Daniellefort,486196,9
58,"40960 John Plains Suite 528
West Paul, PA 93808",West Monicaborough,306421,6
59,"609 Moore Rapid Suite 728
Ashleyborough, IL 97408",Duranmouth,297514,5
60,"7517 Barrett Square
Willieberg, AL 03433",Port Doriston,784449,9
61,"951 Keller Mountain Apt. 204
Mccoymouth, NM 56762",Rodriguezshire,271719,5
62,"02853 Sharon Rue Apt. 224
Meganchester, NC 58882",East Thomas,461602,7
63,"353 Hill Drives Apt. 234
Port Roger, AR 38690",New Samanthaland,119277,3
64,"340 Carrie Lane Suite 126
Wallsville, AR 69643",Wrightland,745398,7
65,"712 Torres Mall Apt. 952
South Tara, CA 50096",Chaseberg,712707,6
66,"PSC 2898, Box 0601
APO AE 05291",Gibsonburgh,343032,9
67,"0233 Jason Inlet
Joshualand, AL 39731",East Lindaberg,254495,7
68,"0138 Daniel Station
Robertshaven, MO 08635",Heatherport,553827,7
69,"2082 Cook Path
North Joelchester, NE 87931",Deborahfort,670451,7
70,"93656 James Throughway
Lindachester, TN 18944",Port Destiny,651927,3
71,"5703 Troy Hill Suite 743
Lake Aprilview, CA 91793",Port Josephmouth,406013,4
72,"2556 Tonya Forest
South Kristinton, MA 98716",Schmidtbury,706165,8
73,"98451 Madison Courts
Port Rachelside, NH 12532",South Eileenborough,659349,4
74,"Unit 3830 Box 3972
DPO AE 97822",Jamesbury,671668,3
75,"452 Kimberly Islands Suite 763
Christopherfort, WY 50010",New Zachary,280396,7
76,"719 Laura Mountains Apt. 116
Calebburgh, MN 87008",Kevinville,201922,7
77,"9256 Mccarthy Loaf Suite 878
Paulberg, CO 82420",Johnstonchester,202595,3
78,"USCGC White
FPO AP 56258",Pattersonborough,348436,9
79,"590 Shawn Coves
Dylanton, VT 88407",Grahamside,729206,6
80,"79629 John Run Suite 376
Morganchester, IN 26237",Waltershaven,563817,4
81,"02215 Christine Street Suite 954
Lake Steve, SC 00738",North Donnaview,211190,7
82,"39007 Williams Forks
South Michael, AL 57027",West Richard,636120,4
83,"015 Jesus Stravenue
Lake Donna, LA 75945",Goodwinside,399229,5
84,"1123 Duane Knolls Apt. 079
Oscarland, MA 37717",East Philipland,566868,8
85,"21864 Rick Brooks Apt. 979
South Christopher, NH 24391",North Ashley,247063,3
86,"PSC 7586, Box 5954
APO AP 19479",Hallmouth,646555,4
87,"1503 Garcia Hill
South Ryanville, CO 50398",Nathanielfurt,506362,2
88,"016 Jennifer Avenue
Juanberg, SC 57448",Terrellstad,341265,4
89,"92535 Douglas Court
Rebeccabury, MI 14371",Lorimouth,148329,5
90,"2133 Meredith Rapids
New Daniel, NJ 82280",Coxborough,422062,10
91,"76590 Daniel Common Suite 022
Port Hunter, LA 44349",Michellestad,525066,9
92,"8388 Amanda Dale Suite 214
Bennettport, MS 84529",Johnmouth,276104,8
93,"43151 Derek Spur
New Jaimetown, AR 09745",Lake Danielleville,145980,10
94,"99258 Gabrielle Mountain Apt. 351
Stevenfurt, FL 84547",Tranburgh,183256,1
95,"7461 Karen Parkway
Isaiahberg, KY 26249",Brianland,526460,2
96,"82624 Tapia Vista
West Richardtown, WV 71990",Acevedofort,761868,10
97,"621 Daniel Rapid
Lake Danielleberg, IN 91731",Anneside,671002,2
98,"01368 Dennis Fork
Robbinschester, FL 73137",Lake Ginafurt,433284,8
99,"0249 Tabitha Circles
Porterborough, CA 77882",Eddieshire,277658,4
100,"86371 John Wall
Kimberg, WI 18885",Richardshire,393223,1
